Name,Budget,Lokasi,Rating,Picture
Atanaya Kuta Bali,"Rp1,125,590.00","Jl. Sunset Road No.88A, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361",4.30,https://drive.google.com/file/d/1x2XArj5Nh6x8mAug8S9XqfpJ_-LaF_xU/view?usp=sharing 
ASTON Denpasar Hotel & Convention Center,"Rp818,550.00","Jl. Gatot Subroto Barat No.283, Pemecutan Kaja, Kec. Denpasar Utara, Kota Denpasar, Bali 80111",4.12,https://drive.google.com/file/d/1b74wZAcZ3mudC4KD6A6qEXgpnC191zfd/view?usp=sharing
Hilton Bali Resort,"Rp3,569,500.00","Jl. Raya Nusa Dua Selatan, Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 80363",4.40,https://drive.google.com/file/d/1Y8hksph6kMKdFofzPJ4aYcIWFj1gRYHp/view?usp=sharing
Potato Head Suites & Studios,"Rp4,484,000.00","Jl. Petitenget No. 51B, Seminyak. Kuta Utara, Badung, Bali, Seminyak, Kuta, Bali, Indonesia, 80361",4.60,https://drive.google.com/file/d/1tjY9oXgX5MSaZyo4Y-7EBBP4FE1rAdeo/view?usp=sharing
Asvara Villa Ubud by Ini Vie Hospitality,"Rp2,022,779.00","Jalan Bangkiang Sidem No.8x Ubud, Ubud, Payangan, Bali, Indonesia, 80571",4.40,https://drive.google.com/file/d/11x-fWyez3fvio-KmUltxWzqzO3lLYDyh/view?usp=sharing
Sujiwa Ubud Retreat Villa,"Rp625,000.00","Jl. Subak Gunung Sari, Sumampan, Kemenuh, 80571 Ubud, Bali, 80571 Ubud, Indonesia, Ubud, Kemenuh, Bali, Indonesia, 80571",4.30,https://drive.google.com/file/d/1ausP934SrBslvaAz8n49shmv4KfjqrZa/view?usp=sharing
Wyndham Tamansari Jivva Resort,"Rp622,565.00","Jalan Subak Lepang No.16 ,Pantai Lepang, Klungkung, Bali, Indonesia, 80752",4.35,https://drive.google.com/file/d/1hVUM_sTiMyrG5K_UnMsruHfuAPoelLT1/view?usp=sharing
HARRIS Hotel & Residences Sunset Road,"Rp663,000.00","Jalan Pura Mertasari Sunset Road, Denpasar Barat, Denpasar, Bali, Indonesia, 80361",4.25,https://drive.google.com/file/d/1_wCHlpUIXf-pfEUe5tTkdaPrHWYV_h2g/view?usp=sharing
Jambuluwuk Oceano Seminyak Hotel,"Rp1,178,775.00","Jl. Petitenget 108 - 110, Seminyak, Kuta, Bali, Indonesia, 80361",4.25,https://drive.google.com/file/d/1CXsvp54gd0AXzUkABBM7Wq9VzL3RBArl/view?usp=sharing
Hotel Santika Siligita Nusa Dua,"Rp770,000.00","Jl. Pintas Siligita No. 3A Banjar Peminge Nusa Dua, Bali - Indonesia, Nusa Dua, Kuta Selatan, Bali, Indonesia, 80363",4.25,https://drive.google.com/file/d/1gNgHFeUtcfcI13dHpJB1TXwUtWh1zGLO/view?usp=sharing
Conjioo Hotel Kuta (Formerly Instyle Hotel),"Rp772,500.00","Jl.Dewi Sri I No.16 Legian - Kuta, Legian, Kuta, Bali, Indonesia, 80361",4.25,https://drive.google.com/file/d/1tjikIONu0zVLACu1QJldPegV0Ibbnoco/view?usp=sharing
THE 1O1 Bali Oasis Sanur,"Rp949,000.00","Jl. Danau Tamblingan No. 136 A Bali 80228 -Indonesia, Sanur, Bali, Indonesia, 80228",4.25,https://drive.google.com/file/d/1aq0-b8Ky0elTnnfBpvtc7fsKjItZktUU/view?usp=sharing
Infinity8 Bali,"Rp958,001.00","Jalan By Pass Ngurah Rai no. 88A, Jimbaran, Jimbaran, Kuta Selatan, Bali, Indonesia, 80361",4.35,https://drive.google.com/file/d/1DIlDx8bY9KLBvB85ClnLiKPaNq8eFZFy/view?usp=sharing
The Sakala Resort Bali - All Suites,"Rp1,584,900.00","Jalan Pratama No. 95, Tanjung Benoa, Nusa Dua, Tanjung Benoa, Bali, Indonesia, 80363",4.20,https://drive.google.com/file/d/1KmCCZ3uiPGLSvnZX9vkb8NbfkSaAETfI/view?usp=sharing
InterContinental Hotels BALI RESORT,"Rp3,418,531.00","Jalan Uluwatu 45,Jimbaran, Jimbaran, Kuta Selatan, Bali, Indonesia, 80361",4.45,https://drive.google.com/file/d/1mAzwP0Sl3nnHj1XmP-lV3k3i7F9aU8vM/view?usp=sharing
Hotel Indigo Bali Seminyak Beach,"Rp3,238,468.00","Jl. Camplung Tanduk No. 10,Seminyak, Seminyak, Kuta, Bali, Indonesia, 80361",4.50,https://drive.google.com/file/d/1CpshPviUonkWhTt46wpKZOp-Dpc7d4hP/view?usp=sharing
The Lerina Hotel Nusa Dua,"Rp493,500.00","Jalan Bypass Ngurah Rai No.1001x Badung, Nusa Dua, Kuta Selatan, Bali, Indonesia, 80361",4.25,https://drive.google.com/file/d/1pnigtBUrlcVYccArN75-sjqEJP0IKaOA/view?usp=sharing 
Cozy Stay Hotel Bali by ARM Hospitality,"Rp329,175.00","Jalan Gunung Soputan No. 88, Kecamatan Denpasar Barat, Denpasar Barat, Denpasar, Bali, Indonesia, 80361",4.10,https://drive.google.com/file/d/1mrOzCIZD3GkMDJ-UQapKdWr4jjAn048x/view?usp=sharing
